ch1,ch2,ch3,ch4,Value
818.351623535156,703.516479492187,788.937744140625,819.157531738281,B
802.234436035156,692.234436035156,778.05859375,803.846130371093,B
803.040283203125,713.589721679687,780.879150390625,801.428588867187,B
812.307678222656,726.886474609375,788.937744140625,808.278381347656,B
814.322326660156,724.871765136718,788.534790039062,810.293029785156,B
815.93408203125,753.076904296875,786.1171875,814.725280761718,B
816.336975097656,763.553100585937,790.146545410156,814.322326660156,B
819.157531738281,758.315002441406,780.879150390625,820.769226074218,B
827.216125488281,724.871765136718,776.0439453125,828.827819824218,B
821.97802734375,720.842468261718,788.534790039062,817.545776367187,B
820.769226074218,746.227111816406,773.626403808593,813.113525390625,B
838.09521484375,763.150207519531,781.684997558593,832.857116699218,B
822.783874511718,743.406616210937,782.087890625,815.128234863281,B
805.860778808593,705.128234863281,759.523803710937,796.996337890625,B
814.322326660156,720.03662109375,764.358947753906,803.846130371093,B
817.142883300781,743.809509277343,778.05859375,808.278381347656,B
809.89013671875,730.915771484375,778.461547851562,799.010986328125,B
809.89013671875,733.333312988281,778.05859375,798.205139160156,B
817.142883300781,735.750915527343,773.626403808593,815.93408203125,B
811.90478515625,743.406616210937,759.120849609375,810.293029785156,B
809.084228515625,754.688659667968,760.732604980468,799.413940429687,B
813.113525390625,729.706970214843,756.300354003906,806.666687011718,B
822.380981445312,703.91943359375,760.732604980468,820.769226074218,B
836.886474609375,690.622680664062,781.282043457031,827.619018554687,B
829.230773925781,693.846130371093,799.413940429687,819.157531738281,B
819.560424804687,730.10986328125,761.94140625,803.040283203125,B
843.736267089843,795.384643554687,757.509155273437,828.424926757812,B
849.377319335937,833.260070800781,790.146545410156,840.10986328125,B
838.901123046875,774.835144042968,764.761901855468,837.289367675781,B
832.857116699218,701.501831054687,753.479858398437,843.736267089843,B
829.633728027343,734.139221191406,766.776550292968,831.245422363281,B
834.06591796875,772.0146484375,763.553100585937,833.663024902343,B
834.468872070312,756.300354003906,738.974365234375,840.512817382812,B
846.556762695312,811.90478515625,725.677673339843,853.003662109375,B
840.512817382812,894.505493164062,701.098876953125,839.304016113281,B
847.362609863281,896.520141601562,699.487182617187,844.139221191406,B
847.765563964843,861.868103027343,707.94873046875,858.644714355468,B
846.153869628906,873.553100585937,700.695983886718,845.347961425781,B
844.945068359375,803.846130371093,802.234436035156,832.454223632812,B
775.238098144531,790.146545410156,799.816833496093,785.714294433593,B
765.567749023437,786.1171875,801.428588867187,789.340637207031,B
791.758239746093,805.457885742187,799.816833496093,787.728942871093,B
796.996337890625,800.622680664062,814.322326660156,775.641052246093,B
827.619018554687,809.487182617187,801.428588867187,825.201477050781,B
783.699645996093,795.384643554687,801.831481933593,771.208801269531,B
780.0732421875,779.670349121093,796.593383789062,800.622680664062,B
831.245422363281,805.457885742187,796.593383789062,816.336975097656,B
773.223449707031,791.355285644531,810.293029785156,793.772888183593,B
814.322326660156,794.578735351562,798.608032226562,812.307678222656,B
793.369934082031,802.637390136718,798.608032226562,778.864440917968,B
834.468872070312,807.069580078125,797.399291992187,818.754577636718,B
823.186828613281,799.010986328125,811.90478515625,817.545776367187,B
795.384643554687,790.549438476562,799.816833496093,803.443237304687,B
779.670349121093,796.996337890625,796.996337890625,789.743591308593,B
838.901123046875,805.054931640625,802.637390136718,825.201477050781,B
774.029296875,788.534790039062,801.025634765625,789.743591308593,B
811.098876953125,805.054931640625,796.996337890625,812.710632324218,B
833.260070800781,802.637390136718,800.219787597656,815.128234863281,B
783.699645996093,805.054931640625,797.399291992187,781.684997558593,B
781.684997558593,799.816833496093,795.384643554687,785.714294433593,B
829.633728027343,799.010986328125,804.249084472656,817.94873046875,B
810.293029785156,794.981689453125,799.010986328125,809.084228515625,B
762.747253417968,783.296691894531,792.161193847656,787.325988769531,B
828.827819824218,798.205139160156,803.846130371093,825.604370117187,B
777.655700683593,790.146545410156,797.802185058593,792.161193847656,B
