ch1,ch2,ch3,ch4,tag,name
809.8901367,800.2197876,806.2637329,758.3150024,R,HK
828.8278198,806.666687,809.4871826,829.2307739,R,HK
806.666687,800.2197876,801.0256348,836.8864746,R,HK
780.4761963,794.9816895,800.2197876,780.8791504,R,HK
792.1611938,799.4139404,805.8607788,746.6300659,R,HK
823.5897217,790.1465454,818.7545776,823.5897217,R,HK
818.3516235,797.8021851,821.1721802,850.5860596,R,HK
792.1611938,799.0109863,810.6959839,824.3956299,R,HK
772.4176025,809.8901367,794.9816895,738.5714111,R,HK
825.2014771,798.2051392,801.4285889,783.699646,R,HK
828.8278198,808.2783813,804.6520386,834.8717651,R,HK
802.6373901,801.8314819,811.5018311,841.3186646,R,HK
780.8791504,807.0695801,817.9487305,763.9560547,R,HK
794.5787354,793.7728882,821.1721802,763.9560547,R,HK
824.7985229,803.8461304,814.3223267,833.2600708,R,HK
811.098877,806.2637329,816.7399292,860.6593628,R,HK
769.1941528,803.4432373,813.5164795,779.6703491,R,HK
788.9377441,801.4285889,807.8754883,742.1978149,R,HK
815.1282349,814.7252808,797.8021851,800.2197876,R,HK
811.098877,809.0842285,804.2490845,831.2454224,R,HK
802.6373901,809.4871826,787.7289429,816.3369751,R,HK
786.9230957,816.3369751,786.9230957,739.7802124,R,HK
826.4102783,802.6373901,807.8754883,813.1135254,R,HK
836.4835205,798.6080322,812.7106323,853.8095093,R,HK
800.2197876,794.1758423,810.6959839,835.6776733,R,HK
784.5054932,799.0109863,820.366272,758.3150024,R,HK
788.131897,790.9523926,827.6190186,778.4615479,R,HK
836.8864746,790.5494385,816.7399292,844.9450684,R,HK
816.3369751,792.1611938,816.3369751,864.6886597,R,HK
784.1025391,802.6373901,807.4725342,782.8937988,R,HK
782.0878906,799.4139404,804.2490845,753.4798584,R,HK
850.1831665,801.8314819,821.9780273,851.3919678,R,HK
822.3809814,794.5787354,816.3369751,848.1685181,R,HK
801.4285889,810.6959839,807.0695801,815.934082,R,HK
774.835144,803.8461304,810.6959839,756.300354,R,HK
834.065918,804.6520386,811.9047852,809.8901367,R,HK
821.1721802,801.8314819,808.2783813,848.1685181,R,HK
812.7106323,800.2197876,811.5018311,845.7509155,R,HK
792.1611938,805.0549316,812.7106323,773.6264038,R,HK
816.7399292,804.2490845,813.9194336,790.9523926,R,HK
845.7509155,806.2637329,811.5018311,856.6300659,R,HK
796.5933838,798.2051392,810.2930298,838.4981689,R,HK
796.1904907,797.8021851,810.2930298,792.1611938,R,HK
804.2490845,804.2490845,813.1135254,724.4688721,R,HK
831.2454224,799.0109863,811.9047852,845.7509155,R,HK
816.3369751,803.8461304,806.666687,852.1978149,R,HK
791.7582397,795.3846436,815.1282349,812.7106323,R,HK
793.3699341,797.399292,811.5018311,741.7948608,R,HK
832.0512695,812.3076782,810.6959839,816.3369751,R,HK
830.0366211,814.3223267,801.8314819,850.5860596,R,HK
788.9377441,797.8021851,821.5750732,823.1868286,R,HK
800.2197876,802.6373901,808.2783813,761.1355591,R,HK
824.7985229,802.234436,808.6813354,792.5640869,R,HK
828.8278198,797.8021851,815.934082,851.7948608,R,HK
813.5164795,798.2051392,805.0549316,832.4542236,R,HK
769.1941528,801.8314819,807.4725342,788.9377441,R,HK
809.4871826,809.8901367,806.2637329,759.5238037,R,HK
773.2234497,797.8021851,807.4725342,838.0952148,R,HK
820.7692261,809.0842285,811.098877,838.4981689,R,HK
790.9523926,797.399292,811.098877,787.7289429,R,HK
796.5933838,800.6226807,809.0842285,763.5531006,R,HK
826.0073242,800.6226807,808.6813354,826.4102783,R,HK
815.5311279,805.0549316,810.2930298,837.6923218,R,HK
781.6849976,806.2637329,805.8607788,802.234436,R,HK
791.3552856,808.6813354,813.1135254,743.0036621,R,HK
822.7838745,805.8607788,809.0842285,800.2197876,R,HK
821.9780273,803.4432373,813.5164795,855.8241577,R,HK
804.2490845,801.8314819,811.5018311,839.7069702,R,HK
782.4908447,798.2051392,802.234436,757.1062012,R,HK
801.8314819,807.0695801,808.6813354,766.7765503,R,HK
823.9926758,799.8168335,803.4432373,840.1098633,R,HK
811.9047852,798.2051392,809.0842285,833.6630249,R,HK
784.1025391,798.6080322,815.1282349,784.1025391,R,HK
792.1611938,805.8607788,803.0402832,758.3150024,R,HK
830.4395752,798.6080322,806.2637329,838.901123,R,HK
824.7985229,805.4578857,811.9047852,849.3773193,R,HK
792.967041,799.8168335,810.2930298,811.5018311,R,HK
789.7435913,802.6373901,808.6813354,743.4066162,R,HK
816.7399292,798.2051392,801.4285889,825.6043701,R,HK
811.5018311,801.0256348,812.3076782,843.7362671,R,HK
782.4908447,793.7728882,800.2197876,797.399292,R,HK
788.131897,794.9816895,811.9047852,747.8388062,R,HK
819.5604248,799.0109863,813.5164795,813.1135254,R,HK
832.8571167,808.2783813,809.8901367,853.8095093,R,HK
805.4578857,801.8314819,803.8461304,828.0219727,R,HK
811.9047852,800.2197876,809.8901367,826.8131714,R,HK
790.9523926,809.8901367,815.1282349,763.9560547,R,HK
811.5018311,805.0549316,804.2490845,787.3259888,R,HK
831.6483765,804.6520386,807.8754883,838.901123,R,HK
813.9194336,808.2783813,814.7252808,844.9450684,R,HK
786.5201416,804.2490845,813.9194336,781.6849976,R,HK
775.2380981,800.6226807,806.2637329,765.567749,R,HK
805.8607788,802.6373901,811.9047852,755.4945068,R,HK
832.0512695,805.8607788,811.5018311,835.2747192,R,HK
813.9194336,795.3846436,813.5164795,854.6153564,R,HK
794.9816895,807.8754883,815.5311279,806.2637329,R,HK
802.6373901,805.8607788,814.7252808,767.5823975,R,HK
825.6043701,801.0256348,807.4725342,831.6483765,R,HK
828.8278198,803.8461304,814.7252808,848.9743652,R,HK
803.0402832,803.8461304,811.9047852,822.3809814,R,HK
782.4908447,799.4139404,807.0695801,747.032959,R,HK
819.9633789,807.4725342,811.098877,795.3846436,R,HK
832.4542236,799.4139404,807.4725342,860.2564087,R,HK
811.5018311,801.8314819,813.5164795,844.1392212,R,HK
780.0732422,802.234436,803.0402832,769.5970459,R,HK
819.5604248,803.8461304,805.4578857,781.6849976,R,HK
830.8424683,803.8461304,816.7399292,853.4066162,R,HK
812.3076782,807.0695801,815.5311279,853.0036621,R,HK
785.3113403,803.4432373,804.2490845,780.0732422,R,HK
783.699646,799.0109863,807.0695801,763.1502075,R,HK
832.0512695,796.5933838,815.1282349,837.2893677,R,HK
813.5164795,797.8021851,811.098877,841.3186646,R,HK
791.3552856,807.4725342,806.2637329,793.3699341,R,HK
787.3259888,803.8461304,804.6520386,747.032959,R,HK
818.7545776,808.2783813,805.8607788,799.8168335,R,HK
824.7985229,802.6373901,808.2783813,854.6153564,R,HK
808.2783813,803.0402832,807.4725342,826.8131714,R,HK
786.9230957,807.8754883,809.8901367,761.5384521,R,HK
815.1282349,803.0402832,812.3076782,798.2051392,R,HK
830.0366211,805.4578857,806.2637329,845.3479614,R,HK
815.5311279,803.0402832,807.4725342,842.5274658,R,HK
795.3846436,802.6373901,816.3369751,791.3552856,R,HK
803.0402832,805.0549316,815.5311279,771.6116943,R,HK
827.2161255,803.0402832,810.6959839,836.8864746,R,HK
817.1428833,800.2197876,810.2930298,840.1098633,R,HK
799.0109863,807.8754883,811.9047852,802.6373901,R,HK
795.3846436,807.4725342,811.9047852,752.6740112,R,HK
829.633728,807.0695801,810.2930298,825.2014771,R,HK
822.7838745,805.0549316,811.9047852,842.5274658,R,HK
779.267395,797.8021851,812.3076782,808.2783813,R,HK
801.8314819,805.0549316,813.1135254,749.0476074,R,HK
830.4395752,813.1135254,813.1135254,801.8314819,R,HK
844.5421143,805.4578857,809.8901367,853.0036621,R,HK
810.2930298,805.0549316,812.7106323,828.8278198,R,HK
779.267395,805.4578857,811.9047852,770,R,HK
810.2930298,806.2637329,809.8901367,774.0292969,R,HK
815.5311279,803.4432373,808.2783813,825.6043701,R,HK
815.5311279,805.4578857,810.2930298,837.6923218,R,HK
808.2783813,805.4578857,806.666687,795.3846436,R,HK
801.8314819,799.0109863,809.8901367,773.2234497,R,HK
831.6483765,796.9963379,811.5018311,842.1245117,R,HK
817.9487305,801.8314819,806.2637329,838.0952148,R,HK
789.3406372,802.6373901,810.2930298,801.0256348,R,HK
790.1465454,804.2490845,804.2490845,743.8095093,R,HK
804.6520386,801.8314819,803.0402832,778.4615479,R,HK
826.0073242,800.6226807,817.5457764,853.0036621,R,HK
804.2490845,800.6226807,814.3223267,842.5274658,R,HK
782.0878906,799.0109863,809.8901367,770.4029541,R,HK
819.1575317,806.666687,807.4725342,786.1171875,R,HK
840.1098633,805.4578857,809.4871826,861.0622559,R,HK
818.7545776,797.399292,802.6373901,836.0805664,R,HK
794.1758423,800.6226807,805.0549316,784.9084473,R,HK
805.4578857,806.2637329,807.4725342,777.2527466,R,HK
826.4102783,796.5933838,821.9780273,848.5714111,R,HK
825.2014771,802.6373901,817.1428833,841.3186646,R,HK
795.7875366,799.4139404,817.5457764,802.234436,R,HK
808.6813354,801.4285889,811.5018311,778.0585938,R,HK
833.2600708,794.1758423,817.1428833,862.6740112,R,HK
824.7985229,804.2490845,815.934082,854.6153564,R,HK
790.5494385,808.2783813,810.2930298,789.3406372,R,HK
781.6849976,802.6373901,805.0549316,730.9157715,R,HK
832.8571167,804.6520386,807.0695801,828.4249268,R,HK
833.6630249,803.0402832,811.098877,853.4066162,R,HK
805.0549316,804.6520386,809.8901367,811.5018311,R,HK
789.7435913,799.8168335,804.6520386,753.8828125,R,HK
828.4249268,800.6226807,802.6373901,830.0366211,R,HK
825.6043701,801.4285889,811.9047852,848.5714111,R,HK
819.1575317,803.4432373,807.0695801,828.4249268,R,HK
777.2527466,809.0842285,809.8901367,772.4176025,R,HK
801.0256348,805.4578857,809.8901367,770,R,HK
826.0073242,797.399292,809.8901367,839.3040161,R,HK
708.3516235,800.6226807,810.2930298,833.6630249,R,HK
820.7692261,802.234436,807.4725342,782.4908447,R,HK
841.7216187,809.0842285,805.8607788,747.8388062,R,HK
715.2014771,804.6520386,803.0402832,824.7985229,R,HK
808.2783813,805.4578857,812.3076782,835.6776733,R,HK
838.0952148,814.3223267,805.8607788,808.6813354,R,HK
813.1135254,800.6226807,808.6813354,750.2564087,R,HK
842.9304199,805.8607788,807.4725342,817.9487305,R,HK
831.6483765,804.2490845,816.3369751,850.5860596,R,HK
799.0109863,797.399292,804.6520386,810.6959839,R,HK
806.2637329,802.6373901,813.9194336,747.032959,R,HK
825.2014771,801.0256348,807.4725342,816.3369751,R,HK
820.366272,806.2637329,812.3076782,848.9743652,R,HK
770.8058472,800.6226807,808.6813354,822.3809814,R,HK
806.2637329,802.234436,809.8901367,766.7765503,R,HK
832.8571167,803.4432373,811.098877,803.0402832,R,HK
843.333313,805.0549316,817.9487305,850.1831665,R,HK
810.2930298,805.8607788,813.1135254,830.0366211,R,HK
789.3406372,793.7728882,817.9487305,765.567749,R,HK
812.3076782,805.4578857,808.2783813,786.9230957,R,HK
830.8424683,807.8754883,815.1282349,854.6153564,R,HK
816.3369751,799.8168335,807.8754883,832.8571167,R,HK
792.1611938,801.8314819,807.0695801,776.4468994,R,HK
801.0256348,801.0256348,809.0842285,768.7911987,R,HK
844.9450684,807.0695801,809.0842285,842.5274658,R,HK
819.9633789,803.8461304,802.6373901,836.4835205,R,HK
791.3552856,801.0256348,801.8314819,790.9523926,R,HK
784.9084473,800.2197876,819.5604248,762.3442993,R,HK
824.7985229,798.2051392,819.1575317,835.2747192,R,HK
834.8717651,804.2490845,819.1575317,863.4798584,R,HK
807.4725342,803.8461304,811.5018311,823.5897217,R,HK
786.5201416,803.4432373,813.5164795,761.5384521,R,HK
807.8754883,801.8314819,813.5164795,785.3113403,R,HK
829.633728,794.5787354,810.6959839,848.5714111,R,HK
813.1135254,806.666687,812.7106323,835.6776733,R,HK
792.5640869,799.8168335,804.2490845,785.7142944,R,HK
793.3699341,801.8314819,804.6520386,756.7033081,R,HK
823.9926758,807.0695801,807.0695801,840.9157715,R,HK
827.2161255,805.0549316,807.0695801,832.0512695,R,HK
804.2490845,795.3846436,812.3076782,802.234436,R,HK
789.3406372,801.8314819,806.2637329,744.2124634,R,HK
837.6923218,808.6813354,813.9194336,842.9304199,R,HK
830.4395752,807.8754883,813.1135254,853.4066162,R,HK
813.5164795,802.234436,810.6959839,816.3369751,R,HK
790.9523926,803.0402832,807.8754883,755.0915527,R,HK
819.9633789,797.399292,804.6520386,801.4285889,R,HK
831.2454224,804.6520386,809.0842285,848.5714111,R,HK
816.3369751,805.8607788,809.0842285,832.4542236,R,HK
789.7435913,803.0402832,814.3223267,764.7619019,R,HK
804.6520386,808.6813354,816.3369751,775.2380981,R,HK
838.0952148,804.2490845,806.2637329,861.868103,R,HK
808.6813354,799.0109863,808.6813354,844.1392212,R,HK
786.1171875,805.8607788,811.098877,750.6593628,R,HK
800.2197876,803.4432373,812.3076782,773.6264038,R,HK
825.2014771,801.8314819,807.8754883,829.2307739,R,HK
819.9633789,807.4725342,810.6959839,851.3919678,R,HK
802.6373901,807.0695801,805.4578857,807.0695801,R,HK
788.131897,802.234436,808.2783813,745.0183105,R,HK
833.2600708,796.1904907,812.3076782,825.6043701,R,HK
821.5750732,801.8314819,809.0842285,853.8095093,R,HK
796.5933838,804.2490845,813.9194336,783.2966919,R,HK
787.7289429,796.9963379,813.5164795,759.5238037,R,HK
821.5750732,804.6520386,815.5311279,834.065918,R,HK
829.2307739,809.8901367,817.1428833,858.2417603,R,HK
804.2490845,799.4139404,805.0549316,811.098877,R,HK
783.2966919,803.8461304,813.1135254,747.4359131,R,HK
801.8314819,801.4285889,813.5164795,790.1465454,R,HK
821.9780273,808.2783813,807.8754883,846.5567627,R,HK
811.5018311,808.2783813,815.5311279,833.2600708,R,HK
786.1171875,797.8021851,806.2637329,758.3150024,R,HK
813.5164795,809.8901367,807.0695801,792.967041,R,HK
832.0512695,803.8461304,809.0842285,850.9890137,R,HK
816.3369751,801.0256348,811.9047852,837.2893677,R,HK
790.9523926,802.6373901,811.5018311,770.4029541,R,HK
785.7142944,801.0256348,817.5457764,763.1502075,R,HK
816.3369751,792.5640869,823.1868286,832.8571167,R,HK
766.7765503,801.8314819,809.0842285,804.6520386,L,HK
821.5750732,799.0109863,804.2490845,771.6116943,L,HK
830.0366211,794.1758423,802.234436,795.3846436,L,HK
807.4725342,792.967041,798.6080322,834.8717651,L,HK
757.9121094,794.5787354,811.098877,824.3956299,L,HK
789.7435913,792.967041,805.4578857,780.4761963,L,HK
869.5238037,796.1904907,807.0695801,797.8021851,L,HK
820.7692261,800.2197876,813.5164795,828.8278198,L,HK
775.6410522,797.399292,806.2637329,836.4835205,L,HK
784.5054932,797.8021851,800.6226807,778.8644409,L,HK
844.9450684,801.4285889,809.8901367,786.1171875,L,HK
842.1245117,804.2490845,815.934082,823.1868286,L,HK
780.0732422,805.4578857,810.6959839,825.6043701,L,HK
766.7765503,802.234436,809.0842285,802.234436,L,HK
833.6630249,807.4725342,809.4871826,785.7142944,L,HK
830.0366211,805.4578857,807.8754883,791.7582397,L,HK
775.6410522,803.4432373,812.3076782,817.5457764,L,HK
762.3442993,802.234436,808.2783813,805.4578857,L,HK
813.9194336,797.399292,808.2783813,777.6557007,L,HK
865.8974609,804.6520386,812.7106323,801.8314819,L,HK
811.9047852,805.8607788,804.2490845,832.4542236,L,HK
763.1502075,807.0695801,802.6373901,822.3809814,L,HK
797.8021851,805.8607788,807.4725342,780.4761963,L,HK
829.2307739,799.0109863,812.7106323,776.8497925,L,HK
824.3956299,796.9963379,811.098877,830.4395752,L,HK
777.2527466,810.6959839,809.4871826,829.633728,L,HK
777.6557007,799.8168335,815.1282349,787.3259888,L,HK
852.600708,800.6226807,807.0695801,776.0439453,L,HK
841.3186646,805.4578857,812.7106323,824.3956299,L,HK
803.8461304,806.2637329,811.098877,846.5567627,L,HK
779.267395,806.2637329,809.4871826,801.4285889,L,HK
837.2893677,797.399292,801.8314819,778.4615479,L,HK
846.5567627,807.0695801,811.098877,811.9047852,L,HK
800.2197876,806.2637329,795.3846436,827.6190186,L,HK
773.2234497,806.666687,808.2783813,821.9780273,L,HK
811.098877,807.4725342,803.0402832,774.835144,L,HK
862.2710571,807.4725342,807.0695801,794.5787354,L,HK
832.4542236,812.7106323,812.3076782,825.2014771,L,HK
780.8791504,801.0256348,801.8314819,829.2307739,L,HK
800.6226807,804.2490845,799.4139404,801.0256348,L,HK
861.46521,801.8314819,801.4285889,792.967041,L,HK
841.7216187,803.4432373,804.2490845,828.8278198,L,HK
773.2234497,799.4139404,806.666687,828.8278198,L,HK
765.9707031,788.131897,818.3516235,798.2051392,L,HK
836.0805664,791.7582397,804.2490845,781.2820435,L,HK
832.4542236,794.9816895,803.4432373,815.5311279,L,HK
796.9963379,799.0109863,816.3369751,835.6776733,L,HK
621.7216187,800.6226807,802.6373901,803.4432373,L,HK
846.9597168,806.2637329,809.4871826,769.5970459,L,HK
882.0146484,805.0549316,809.8901367,799.0109863,L,HK
834.4688721,794.9816895,815.1282349,827.6190186,L,HK
776.4468994,788.53479,818.3516235,821.5750732,L,HK
802.234436,813.9194336,817.5457764,787.3259888,L,HK
865.0915527,804.2490845,807.8754883,799.8168335,L,HK
808.2783813,799.0109863,813.9194336,824.7985229,L,HK
772.8204956,779.6703491,823.5897217,850.1831665,L,HK
797.8021851,788.131897,816.3369751,803.8461304,L,HK
685.3846436,790.1465454,816.7399292,805.8607788,L,HK
832.8571167,820.366272,782.4908447,793.7728882,L,HK
788.53479,836.4835205,764.3589478,817.5457764,L,HK
784.9084473,828.0219727,795.7875366,799.0109863,L,HK
837.6923218,801.8314819,803.8461304,764.7619019,L,HK
