ch1,ch2,ch3,ch4
806.6666870117188,723.2600708007812,775.6410522460938,788.937744140625
792.967041015625,726.4835205078125,775.2380981445312,783.6996459960938
789.7435913085938,730.915771484375,769.5970458984375,790.1465454101562
789.3406372070312,736.5567626953125,775.2380981445312,796.996337890625
793.3699340820312,720.03662109375,780.0732421875,805.8607788085938
795.7875366210938,709.5604248046875,779.6703491210938,811.5018310546875
796.996337890625,722.05126953125,780.879150390625,800.6226806640625
792.1611938476562,740.5860595703125,778.4615478515625,786.1171875
794.5787353515625,745.4212646484375,781.6849975585938,788.937744140625
807.4725341796875,745.8241577148438,781.2820434570312,802.6373901367188
804.6520385742188,755.4945068359375,782.4908447265625,809.084228515625
801.4285888671875,738.1685180664062,786.923095703125,809.89013671875
802.6373901367188,716.4102783203125,780.879150390625,804.6520385742188
802.6373901367188,720.8424682617188,780.0732421875,804.2490844726562
809.89013671875,749.8534545898438,794.5787353515625,812.3076782226562
813.113525390625,759.120849609375,785.3113403320312,816.3369750976562
826.4102783203125,718.4249267578125,784.908447265625,828.02197265625
831.6483764648438,746.6300659179688,795.3846435546875,832.05126953125
812.3076782226562,770.4029541015625,779.6703491210938,813.113525390625
801.8314819335938,716.4102783203125,770.8058471679688,797.8021850585938
807.87548828125,715.2014770507812,774.029296875,811.098876953125
806.6666870117188,720.4395751953125,775.2380981445312,818.7545776367188
798.2051391601562,718.8278198242188,763.1502075195312,801.025634765625
802.2344360351562,708.7545776367188,772.4176025390625,798.2051391601562
809.4871826171875,687.3992919921875,790.5494384765625,801.025634765625
807.069580078125,713.99267578125,780.4761962890625,800.2197875976562
803.8461303710938,722.4542236328125,772.4176025390625,799.4139404296875
813.91943359375,712.7838745117188,780.0732421875,805.054931640625
818.3516235351562,718.4249267578125,791.7582397460938,814.3223266601562
808.2783813476562,688.2051391601562,788.1318969726562,813.91943359375
805.054931640625,693.040283203125,786.1171875,809.89013671875
806.2637329101562,716.4102783203125,784.908447265625,799.8168334960938
814.3223266601562,711.97802734375,784.5054931640625,811.098876953125
824.7985229492188,703.113525390625,793.3699340820312,825.6043701171875
818.3516235351562,703.5164794921875,788.937744140625,819.1575317382812
802.2344360351562,692.2344360351562,778.05859375,803.8461303710938
803.040283203125,713.5897216796875,780.879150390625,801.4285888671875
812.3076782226562,726.886474609375,788.937744140625,808.2783813476562
814.3223266601562,724.8717651367188,788.5347900390625,810.2930297851562
815.93408203125,753.076904296875,786.1171875,814.7252807617188
816.3369750976562,763.5531005859375,790.1465454101562,814.3223266601562
819.1575317382812,758.3150024414062,780.879150390625,820.7692260742188
827.2161254882812,724.8717651367188,776.0439453125,828.8278198242188
821.97802734375,720.8424682617188,788.5347900390625,817.5457763671875
820.7692260742188,746.2271118164062,773.6264038085938,813.113525390625
838.09521484375,763.1502075195312,781.6849975585938,832.8571166992188
822.7838745117188,743.4066162109375,782.087890625,815.1282348632812
805.8607788085938,705.1282348632812,759.5238037109375,796.996337890625
814.3223266601562,720.03662109375,764.3589477539062,803.8461303710938
817.1428833007812,743.8095092773438,778.05859375,808.2783813476562
809.89013671875,730.915771484375,778.4615478515625,799.010986328125
809.89013671875,733.3333129882812,778.05859375,798.2051391601562
817.1428833007812,735.7509155273438,773.6264038085938,815.93408203125
811.90478515625,743.4066162109375,759.120849609375,810.2930297851562
809.084228515625,754.6886596679688,760.7326049804688,799.4139404296875
813.113525390625,729.7069702148438,756.3003540039062,806.6666870117188
822.3809814453125,703.91943359375,760.7326049804688,820.7692260742188
836.886474609375,690.6226806640625,781.2820434570312,827.6190185546875
829.2307739257812,693.8461303710938,799.4139404296875,819.1575317382812
819.5604248046875,730.10986328125,761.94140625,803.040283203125
843.7362670898438,795.3846435546875,757.5091552734375,828.4249267578125
849.3773193359375,833.2600708007812,790.1465454101562,840.10986328125
838.901123046875,774.8351440429688,764.7619018554688,837.2893676757812
832.8571166992188,701.5018310546875,753.4798583984375,843.7362670898438
829.6337280273438,734.1392211914062,766.7765502929688,831.2454223632812
834.06591796875,772.0146484375,763.5531005859375,833.6630249023438
834.4688720703125,756.3003540039062,738.974365234375,840.5128173828125
846.5567626953125,811.90478515625,725.6776733398438,853.003662109375
840.5128173828125,894.5054931640625,701.098876953125,839.3040161132812
847.3626098632812,896.5201416015625,699.4871826171875,844.1392211914062
847.7655639648438,861.8681030273438,707.94873046875,858.6447143554688
846.1538696289062,873.5531005859375,700.6959838867188,845.3479614257812
