RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Value
813.5165,966.63007,802.6374,818.3516,L
808.2784,985.9707,795.78754,792.96704,L
798.60803,599.9634,808.2784,799.41394,L
803.44324,748.24176,801.8315,796.1905,L
815.5311,844.1392,777.25275,826.8132,L
803.0403,915.8608,810.293,803.44324,L
815.5311,763.95605,815.5311,808.2784,L
812.71063,713.9927,786.1172,809.0842,L
800.6227,1047.619,806.26373,808.2784,L
800.2198,853.00366,812.71063,802.6374,L
809.89014,817.1429,802.23444,810.696,L
822.381,790.14655,809.89014,813.5165,L
808.68134,910.6227,801.8315,816.337,L
811.50183,852.1978,767.1795,832.0513,L
989.59705,559.2674,810.293,794.9817,L
813.1135,960.58606,808.68134,808.68134,L
814.7253,908.60803,805.05493,796.1905,L
818.3516,863.8828,803.44324,808.68134,L
799.81683,662.01465,801.02563,778.0586,L
806.6667,834.87177,794.57874,790.14655,L
806.6667,1052.4542,806.26373,816.337,L
769.59705,882.8205,801.8315,794.9817,L
817.5458,722.8571,807.0696,799.011,L
816.7399,1151.5751,789.7436,784.10254,L
831.2454,980.32965,796.1905,820.7692,L
806.26373,18.534798,810.293,799.81683,L
785.7143,533.8828,807.0696,777.6557,L
790.14655,982.74725,830.0366,781.28204,L
782.0879,871.53845,817.5458,774.0293,L
790.9524,719.2308,803.0403,794.9817,L
815.5311,624.5421,796.5934,805.05493,L
803.44324,1028.2784,806.6667,811.50183,L
790.54944,942.4542,823.5897,788.5348,L
808.2784,650.32965,825.2015,817.1429,L
798.60803,892.49084,806.6667,793.36993,L
803.44324,741.39197,792.5641,805.4579,L
809.4872,856.63007,811.9048,807.0696,L
795.78754,628.1685,825.2015,805.8608,L
813.1135,1123.37,811.0989,811.0989,L
809.89014,865.89746,790.9524,806.26373,L
788.1319,782.49084,821.978,789.34064,L
782.49084,892.0879,816.7399,785.31134,L
792.5641,1117.7289,796.5934,814.3223,L
781.685,778.0586,821.1722,773.6264,L
812.71063,790.14655,811.50183,815.9341,L
794.9817,938.022,805.05493,784.10254,L
833.663,908.60803,773.22345,828.8278,L
782.0879,839.304,799.81683,783.2967,L
799.011,610.4396,782.49084,786.1172,L
796.1905,1060.9158,801.02563,790.9524,L
788.93774,896.52014,810.293,772.8205,L
806.26373,666.04395,804.65204,809.89014,L
823.1868,682.1612,747.4359,827.2161,L
756.30035,835.2747,797.8022,765.9707,L
774.83514,984.7619,782.8938,784.5055,L
795.78754,815.5311,794.57874,810.293,L
804.65204,895.7143,777.6557,808.2784,L
790.14655,1003.69965,804.2491,785.31134,L
853.4066,897.326,794.9817,873.95605,L
734.5421,789.34064,804.65204,767.1795,L
778.0586,744.21246,802.6374,784.10254,L
774.43225,855.82416,790.9524,801.02563,L
772.4176,893.69965,809.89014,803.8461,L
797.8022,794.57874,800.2198,799.41394,L
793.7729,819.9634,783.69965,781.28204,L
1056.4835,1002.49084,794.57874,819.5604,L
824.3956,879.19415,803.0403,797.8022,L
803.44324,784.5055,799.011,759.92676,L
769.59705,838.49817,902.5641,760.7326,L
765.9707,828.022,825.2015,762.74725,L
792.1612,780.87915,789.34064,782.49084,L
794.57874,534.68866,792.96704,807.47253,L
812.71063,826.0073,797.8022,804.65204,L
771.6117,881.2088,817.1429,792.96704,L
802.23444,889.2674,780.07324,790.14655,L
798.60803,719.2308,817.1429,801.4286,L
833.663,990,813.91943,838.0952,L
778.86444,777.6557,828.022,772.4176,L
761.9414,540.32965,799.81683,785.7143,L
747.4359,838.49817,785.7143,782.8938,L
735.7509,802.6374,809.0842,750.65936,L
797.3993,792.96704,790.9524,783.2967,L
811.9048,751.06226,775.2381,825.6044,L
776.8498,786.9231,822.381,781.685,L
799.41394,855.82416,792.1612,808.68134,L
792.5641,592.71063,796.99634,783.2967,L
763.1502,940.84247,811.9048,767.98535,L
801.4286,891.28204,809.89014,793.7729,L
798.20514,840.5128,808.2784,799.011,L
805.05493,805.8608,808.2784,803.44324,L
866.30035,784.10254,801.4286,780.07324,R
803.44324,778.0586,794.17584,757.9121,R
874.7619,763.95605,784.5055,828.4249,R
843.73627,806.6667,815.12823,817.1429,R
840.10986,783.69965,816.337,794.17584,R
796.1905,785.7143,799.41394,821.5751,R
747.4359,788.5348,794.17584,769.19415,R
989.59705,784.10254,801.8315,836.4835,R
878.3883,773.22345,791.3553,829.6337,R
843.73627,798.60803,809.4872,860.65936,R
551.6117,793.36993,799.011,781.685,R
832.8571,786.9231,799.011,820.7692,R
757.50916,783.69965,796.99634,785.31134,R
793.7729,778.0586,791.75824,820.3663,R
809.89014,782.49084,794.9817,794.17584,R
643.8828,790.14655,790.9524,780.07324,R
1006.9231,779.2674,788.5348,823.5897,R
798.60803,776.8498,789.7436,786.9231,R
879.59705,788.1319,799.011,840.10986,R
542.74725,782.8938,784.90845,819.5604,R
854.21246,787.72894,792.1612,813.1135,R
793.36993,780.4762,800.2198,773.6264,R
