ch1,ch2,ch3,ch4
806.6666870117188,786.1171875,798.6080322265625,812.7106323242188
685.7875366210938,776.0439453125,863.4798583984375,701.5018310546875
797.3992919921875,801.8314819335938,793.7728881835938,782.087890625
819.96337890625,790.1465454101562,773.2234497070312,822.3809814453125
785.3113403320312,761.5384521484375,801.4285888671875,803.040283203125
817.5457763671875,783.6996459960938,803.4432373046875,814.7252807617188
801.8314819335938,793.3699340820312,799.4139404296875,787.3259887695312
792.967041015625,790.5494384765625,809.89013671875,806.2637329101562
810.6959838867188,777.6557006835938,811.098876953125,828.02197265625
802.6373901367188,803.040283203125,808.2783813476562,794.5787353515625
799.8168334960938,810.6959838867188,800.2197875976562,806.6666870117188
829.2307739257812,806.2637329101562,792.1611938476562,828.4249267578125
821.97802734375,825.6043701171875,810.6959838867188,837.6923217773438
806.2637329101562,821.5750732421875,804.2490844726562,821.1721801757812
822.3809814453125,820.7692260742188,799.8168334960938,821.97802734375
832.4542236328125,815.5311279296875,803.4432373046875,830.8424682617188
809.89013671875,803.8461303710938,819.96337890625,833.2600708007812
805.4578857421875,805.054931640625,812.3076782226562,815.93408203125
798.6080322265625,786.923095703125,809.084228515625,811.5018310546875
811.90478515625,799.8168334960938,808.2783813476562,806.2637329101562
815.5311279296875,798.2051391601562,811.5018310546875,823.5897216796875
801.8314819335938,784.5054931640625,808.6813354492188,798.6080322265625
805.4578857421875,788.1318969726562,805.054931640625,798.2051391601562
809.084228515625,799.8168334960938,817.94873046875,799.010986328125
813.5164794921875,791.7582397460938,808.6813354492188,822.3809814453125
803.4432373046875,793.7728881835938,807.87548828125,810.2930297851562
772.4176025390625,794.1758422851562,809.084228515625,792.1611938476562
811.90478515625,790.5494384765625,808.2783813476562,801.025634765625
800.6226806640625,798.6080322265625,807.87548828125,812.7106323242188
786.923095703125,788.5347900390625,811.098876953125,800.2197875976562
818.3516235351562,785.7142944335938,809.084228515625,809.89013671875
761.5384521484375,791.3552856445312,811.5018310546875,761.1355590820312
798.2051391601562,807.069580078125,803.8461303710938,794.5787353515625
811.90478515625,798.6080322265625,801.4285888671875,812.3076782226562
824.7985229492188,783.6996459960938,800.6226806640625,823.1868286132812
796.1904907226562,813.113525390625,794.981689453125,782.087890625
803.040283203125,795.7875366210938,805.4578857421875,798.6080322265625
832.05126953125,791.3552856445312,803.8461303710938,826.4102783203125
807.069580078125,791.7582397460938,819.96337890625,804.2490844726562
817.5457763671875,796.996337890625,809.89013671875,805.054931640625
778.4615478515625,799.8168334960938,808.6813354492188,768.7911987304688
818.7545776367188,794.5787353515625,807.87548828125,817.1428833007812
820.7692260742188,789.7435913085938,807.4725341796875,818.7545776367188
817.5457763671875,799.8168334960938,807.4725341796875,819.5604248046875
818.3516235351562,795.7875366210938,803.040283203125,797.3992919921875
804.6520385742188,801.025634765625,804.6520385742188,803.040283203125
804.2490844726562,794.981689453125,805.054931640625,801.4285888671875
810.6959838867188,796.996337890625,807.4725341796875,819.5604248046875
821.5750732421875,797.3992919921875,798.6080322265625,805.4578857421875
787.3259887695312,796.1904907226562,814.3223266601562,791.7582397460938
783.2966918945312,801.025634765625,809.89013671875,804.2490844726562
806.6666870117188,787.3259887695312,807.069580078125,824.7985229492188
806.6666870117188,796.996337890625,805.054931640625,801.8314819335938
812.7106323242188,792.967041015625,808.2783813476562,805.8607788085938
792.967041015625,794.981689453125,801.4285888671875,782.087890625
806.2637329101562,800.2197875976562,809.4871826171875,819.96337890625
807.4725341796875,790.952392578125,806.2637329101562,822.3809814453125
793.7728881835938,797.3992919921875,809.89013671875,798.2051391601562
803.040283203125,796.1904907226562,800.6226806640625,805.054931640625
813.113525390625,798.2051391601562,798.2051391601562,813.113525390625
802.6373901367188,796.5933837890625,801.8314819335938,818.3516235351562
805.4578857421875,805.4578857421875,799.010986328125,808.2783813476562
803.040283203125,810.2930297851562,800.6226806640625,786.5201416015625
810.2930297851562,799.010986328125,805.8607788085938,812.3076782226562
819.1575317382812,791.7582397460938,800.2197875976562,813.5164794921875
824.7985229492188,796.996337890625,801.4285888671875,826.4102783203125
811.90478515625,794.981689453125,807.4725341796875,809.4871826171875
804.6520385742188,790.5494384765625,812.7106323242188,796.1904907226562
796.1904907226562,802.6373901367188,808.2783813476562,796.996337890625
811.098876953125,795.3846435546875,808.6813354492188,809.4871826171875
794.1758422851562,792.1611938476562,813.91943359375,799.8168334960938
804.6520385742188,798.2051391601562,804.6520385742188,799.010986328125
815.5311279296875,795.3846435546875,811.098876953125,814.3223266601562
801.025634765625,807.87548828125,806.6666870117188,802.6373901367188
810.6959838867188,801.4285888671875,803.8461303710938,823.99267578125
828.4249267578125,803.8461303710938,804.2490844726562,821.1721801757812
810.6959838867188,794.5787353515625,795.3846435546875,804.6520385742188
822.3809814453125,801.8314819335938,800.2197875976562,821.5750732421875
813.91943359375,805.054931640625,799.010986328125,823.99267578125
804.6520385742188,797.8021850585938,802.2344360351562,823.1868286132812
819.1575317382812,800.6226806640625,796.5933837890625,805.054931640625
810.2930297851562,810.6959838867188,794.981689453125,818.7545776367188
829.2307739257812,805.054931640625,808.6813354492188,837.2893676757812
811.5018310546875,803.4432373046875,808.2783813476562,815.93408203125
809.4871826171875,803.8461303710938,807.87548828125,820.7692260742188
804.6520385742188,807.87548828125,802.2344360351562,814.3223266601562
806.2637329101562,798.6080322265625,805.4578857421875,809.89013671875
801.8314819335938,802.2344360351562,805.054931640625,820.3662719726562
803.4432373046875,793.7728881835938,792.1611938476562,801.4285888671875
