ch1,ch2,ch3,ch4
811.098876953125,790.5494384765625,817.5457763671875,816.3369750976562
849.3773193359375,792.1611938476562,826.00732421875,830.03662109375
837.6923217773438,802.6373901367188,812.7106323242188,826.4102783203125
794.981689453125,815.1282348632812,806.2637329101562,823.5897216796875
816.3369750976562,790.952392578125,805.054931640625,807.4725341796875
793.3699340820312,815.1282348632812,798.2051391601562,806.2637329101562
803.040283203125,807.4725341796875,817.1428833007812,814.7252807617188
805.8607788085938,803.040283203125,805.4578857421875,807.4725341796875
842.12451171875,964.2124633789062,819.5604248046875,848.1685180664062
806.2637329101562,726.08056640625,816.3369750976562,809.4871826171875
811.5018310546875,789.3406372070312,801.025634765625,806.6666870117188
803.040283203125,787.3259887695312,803.040283203125,788.5347900390625
808.6813354492188,786.1171875,810.6959838867188,808.6813354492188
798.6080322265625,790.952392578125,818.3516235351562,821.5750732421875
806.6666870117188,790.1465454101562,805.4578857421875,810.2930297851562
832.8571166992188,801.4285888671875,811.5018310546875,824.3956298828125
835.2747192382812,762.3442993164062,821.5750732421875,850.1831665039062
807.4725341796875,773.6264038085938,809.89013671875,837.2893676757812
832.05126953125,788.937744140625,806.2637329101562,832.4542236328125
829.2307739257812,790.5494384765625,807.87548828125,843.7362670898438
799.010986328125,805.054931640625,811.90478515625,807.069580078125
813.113525390625,788.1318969726562,800.2197875976562,814.7252807617188
840.915771484375,770.0,818.7545776367188,833.6630249023438
829.6337280273438,793.3699340820312,805.054931640625,819.96337890625
794.1758422851562,779.6703491210938,797.3992919921875,796.5933837890625
803.4432373046875,776.4468994140625,803.4432373046875,813.5164794921875
810.6959838867188,781.6849975585938,811.90478515625,805.8607788085938
822.7838745117188,797.8021850585938,810.6959838867188,818.7545776367188
805.8607788085938,807.069580078125,802.6373901367188,806.6666870117188
850.5860595703125,800.6226806640625,846.5567626953125,863.4798583984375
859.8534545898438,820.3662719726562,805.8607788085938,810.2930297851562
819.5604248046875,835.2747192382812,799.4139404296875,826.4102783203125
828.4249267578125,799.8168334960938,813.5164794921875,840.915771484375
818.3516235351562,783.2966918945312,810.6959838867188,812.7106323242188
824.3956298828125,797.3992919921875,806.2637329101562,826.8131713867188
816.7399291992188,796.5933837890625,821.97802734375,833.6630249023438
834.8717651367188,815.1282348632812,828.8278198242188,840.5128173828125
800.6226806640625,790.1465454101562,805.4578857421875,806.2637329101562
798.2051391601562,796.1904907226562,815.1282348632812,803.4432373046875
796.996337890625,797.8021850585938,820.3662719726562,832.8571166992188
784.908447265625,784.1025390625,808.6813354492188,803.8461303710938
832.4542236328125,863.4798583984375,810.6959838867188,841.3186645507812
821.97802734375,791.7582397460938,816.7399291992188,823.5897216796875
853.4066162109375,815.1282348632812,822.3809814453125,849.3773193359375
