ch1,ch2,ch3,ch4
787.7289428710938,799.4139404296875,802.6373901367188,799.4139404296875
790.5494384765625,800.6226806640625,806.6666870117188,788.5347900390625
794.981689453125,788.5347900390625,805.4578857421875,798.2051391601562
808.6813354492188,794.1758422851562,804.2490844726562,810.2930297851562
792.967041015625,800.2197875976562,805.4578857421875,776.0439453125
802.2344360351562,809.4871826171875,805.4578857421875,796.996337890625
807.069580078125,799.8168334960938,808.2783813476562,815.93408203125
807.87548828125,790.1465454101562,805.8607788085938,808.6813354492188
802.6373901367188,799.4139404296875,801.4285888671875,796.1904907226562
815.5311279296875,789.3406372070312,807.4725341796875,821.5750732421875
779.6703491210938,814.7252807617188,795.3846435546875,771.2088012695312
800.6226806640625,778.05859375,815.93408203125,809.4871826171875
817.1428833007812,793.7728881835938,804.2490844726562,804.2490844726562
780.0732421875,803.4432373046875,797.3992919921875,778.4615478515625
782.4908447265625,796.1904907226562,801.025634765625,782.087890625
808.6813354492188,796.1904907226562,805.054931640625,823.99267578125
794.1758422851562,797.3992919921875,801.8314819335938,805.8607788085938
803.8461303710938,798.2051391601562,806.6666870117188,805.054931640625
801.025634765625,793.3699340820312,805.4578857421875,802.6373901367188
795.3846435546875,790.952392578125,798.6080322265625,809.4871826171875
798.6080322265625,790.5494384765625,802.6373901367188,808.6813354492188
813.5164794921875,805.8607788085938,806.2637329101562,801.4285888671875
803.4432373046875,798.6080322265625,806.2637329101562,797.3992919921875
800.6226806640625,794.5787353515625,800.2197875976562,800.6226806640625
777.2527465820312,818.7545776367188,794.981689453125,783.6996459960938
799.010986328125,793.7728881835938,797.3992919921875,790.952392578125
783.6996459960938,800.6226806640625,814.3223266601562,799.8168334960938
799.4139404296875,796.5933837890625,800.2197875976562,815.1282348632812
788.1318969726562,796.1904907226562,809.89013671875,792.967041015625
819.1575317382812,793.7728881835938,806.2637329101562,818.3516235351562
803.040283203125,796.1904907226562,800.6226806640625,795.7875366210938
810.2930297851562,793.7728881835938,809.084228515625,802.2344360351562
802.6373901367188,794.1758422851562,800.6226806640625,811.90478515625
798.6080322265625,789.7435913085938,804.2490844726562,817.94873046875
801.4285888671875,793.7728881835938,800.6226806640625,800.2197875976562
800.2197875976562,784.908447265625,804.6520385742188,791.3552856445312
805.054931640625,798.6080322265625,809.89013671875,801.025634765625
798.6080322265625,793.7728881835938,805.4578857421875,798.2051391601562
803.4432373046875,800.6226806640625,799.8168334960938,790.952392578125
796.1904907226562,804.2490844726562,804.6520385742188,798.2051391601562
801.8314819335938,790.952392578125,804.6520385742188,794.981689453125
805.4578857421875,799.4139404296875,805.4578857421875,815.5311279296875
811.5018310546875,794.5787353515625,802.6373901367188,807.4725341796875
790.5494384765625,795.3846435546875,800.2197875976562,785.7142944335938
813.5164794921875,796.1904907226562,810.2930297851562,805.8607788085938
812.7106323242188,803.8461303710938,805.054931640625,808.2783813476562
797.3992919921875,792.5640869140625,806.6666870117188,794.5787353515625
804.2490844726562,800.6226806640625,797.8021850585938,793.7728881835938
773.2234497070312,802.6373901367188,808.2783813476562,753.8828125
808.2783813476562,795.7875366210938,803.040283203125,808.2783813476562
791.7582397460938,802.6373901367188,797.3992919921875,782.087890625
803.4432373046875,799.010986328125,805.4578857421875,796.1904907226562
812.3076782226562,797.8021850585938,793.7728881835938,798.2051391601562
795.3846435546875,805.8607788085938,801.4285888671875,790.5494384765625
799.8168334960938,786.923095703125,812.7106323242188,808.2783813476562
785.7142944335938,794.981689453125,807.87548828125,793.3699340820312
791.3552856445312,794.981689453125,802.6373901367188,800.2197875976562
800.6226806640625,795.3846435546875,808.2783813476562,809.4871826171875
802.6373901367188,800.6226806640625,802.2344360351562,795.7875366210938
807.069580078125,794.981689453125,803.8461303710938,813.91943359375
807.069580078125,801.025634765625,801.4285888671875,798.2051391601562
791.7582397460938,801.8314819335938,801.025634765625,792.967041015625
814.3223266601562,801.025634765625,798.6080322265625,807.069580078125
792.5640869140625,799.8168334960938,801.8314819335938,805.054931640625
