ch1,ch2,ch3,ch4,tag,name
815.934082,791.3552856,816.3369751,823.1868286,F,HK
820.366272,782.0878906,811.5018311,819.1575317,F,HK
823.5897217,796.9963379,813.5164795,839.7069702,F,HK
825.2014771,792.1611938,821.1721802,830.8424683,F,HK
833.2600708,793.7728882,811.5018311,820.7692261,F,HK
806.2637329,791.3552856,815.1282349,804.6520386,F,HK
800.6226807,796.9963379,811.5018311,804.2490845,F,HK
823.9926758,810.2930298,827.6190186,844.9450684,F,HK
819.5604248,808.2783813,829.633728,819.1575317,F,HK
800.2197876,799.4139404,817.5457764,815.934082,F,HK
821.9780273,797.8021851,821.1721802,823.1868286,F,HK
794.5787354,795.3846436,823.9926758,803.0402832,F,HK
820.366272,795.7875366,813.1135254,823.9926758,F,HK
802.6373901,792.967041,809.0842285,807.8754883,F,HK
823.9926758,788.131897,812.7106323,829.633728,F,HK
816.3369751,794.1758423,818.7545776,823.1868286,F,HK
828.8278198,790.9523926,809.0842285,837.6923218,F,HK
816.7399292,796.9963379,819.5604248,823.5897217,F,HK
816.3369751,794.5787354,814.7252808,810.6959839,F,HK
814.7252808,792.967041,813.9194336,829.2307739,F,HK
831.2454224,790.5494385,818.3516235,847.765564,F,HK
812.3076782,788.53479,822.7838745,820.7692261,F,HK
811.098877,793.7728882,814.3223267,809.8901367,F,HK
811.9047852,790.5494385,807.8754883,817.1428833,F,HK
817.5457764,798.6080322,815.5311279,826.8131714,F,HK
823.9926758,812.3076782,815.934082,837.6923218,F,HK
819.9633789,794.9816895,817.9487305,814.3223267,F,HK
803.0402832,800.2197876,813.9194336,796.9963379,F,HK
823.5897217,796.1904907,814.3223267,823.5897217,F,HK
809.0842285,790.1465454,820.7692261,820.366272,F,HK
823.1868286,786.1171875,815.1282349,838.4981689,F,HK
809.0842285,790.9523926,796.9963379,824.7985229,F,HK
809.8901367,787.7289429,822.3809814,806.666687,F,HK
817.1428833,789.3406372,815.1282349,823.5897217,F,HK
797.399292,792.5640869,813.9194336,813.9194336,F,HK
818.3516235,796.1904907,813.9194336,829.2307739,F,HK
812.3076782,793.3699341,820.7692261,810.6959839,F,HK
815.5311279,785.7142944,813.1135254,813.1135254,F,HK
823.1868286,796.9963379,814.3223267,826.4102783,F,HK
815.934082,794.5787354,813.9194336,816.3369751,F,HK
814.3223267,801.4285889,816.7399292,807.4725342,F,HK
818.3516235,791.3552856,814.3223267,806.666687,F,HK
804.6520386,796.9963379,813.1135254,806.666687,F,HK
813.5164795,788.131897,813.1135254,821.1721802,F,HK
818.7545776,798.2051392,811.098877,823.9926758,F,HK
827.2161255,802.6373901,818.3516235,812.7106323,F,HK
817.9487305,786.5201416,811.098877,827.2161255,F,HK
807.0695801,796.9963379,816.3369751,826.0073242,F,HK
811.098877,794.5787354,826.4102783,814.7252808,F,HK
811.098877,790.1465454,814.7252808,807.4725342,F,HK
805.4578857,793.7728882,814.7252808,811.9047852,F,HK
816.3369751,792.967041,809.8901367,828.4249268,F,HK
815.1282349,794.5787354,821.5750732,816.3369751,F,HK
817.9487305,792.967041,809.0842285,803.4432373,F,HK
817.1428833,788.131897,817.9487305,812.7106323,F,HK
815.934082,791.7582397,815.5311279,824.3956299,F,HK
815.5311279,795.7875366,814.3223267,826.0073242,F,HK
818.3516235,796.5933838,811.098877,817.1428833,F,HK
819.1575317,796.1904907,819.9633789,805.4578857,F,HK
807.4725342,797.399292,817.1428833,808.2783813,F,HK
811.098877,798.6080322,804.2490845,830.4395752,F,HK
821.9780273,795.3846436,810.6959839,832.0512695,F,HK
800.6226807,794.1758423,814.3223267,793.7728882,F,HK
817.5457764,786.1171875,817.5457764,827.2161255,F,HK
817.9487305,785.7142944,810.2930298,826.0073242,F,HK
815.934082,790.1465454,810.2930298,809.4871826,F,HK
806.2637329,778.4615479,822.7838745,805.8607788,F,HK
820.7692261,802.234436,809.0842285,825.6043701,F,HK
807.0695801,799.4139404,814.7252808,813.5164795,F,HK
819.5604248,802.6373901,793.7728882,802.234436,F,HK
813.9194336,780.8791504,802.234436,812.7106323,F,HK
817.9487305,779.267395,808.6813354,814.3223267,F,HK
815.934082,786.1171875,811.5018311,822.7838745,F,HK
819.1575317,785.3113403,808.6813354,821.1721802,F,HK
789.3406372,795.3846436,815.1282349,798.2051392,F,HK
809.4871826,786.1171875,809.0842285,809.4871826,F,HK
822.3809814,788.9377441,815.1282349,819.1575317,F,HK
811.9047852,791.7582397,810.2930298,820.7692261,F,HK
807.0695801,801.0256348,819.5604248,807.0695801,F,HK
815.934082,794.1758423,817.5457764,814.3223267,F,HK
810.6959839,798.6080322,815.934082,817.9487305,F,HK
812.7106323,793.3699341,821.1721802,829.2307739,F,HK
790.9523926,798.2051392,814.7252808,796.1904907,F,HK
808.6813354,796.5933838,821.1721802,809.4871826,F,HK
818.3516235,796.1904907,814.3223267,820.7692261,F,HK
808.2783813,799.0109863,811.098877,821.1721802,F,HK
826.4102783,790.9523926,811.098877,825.2014771,F,HK
823.9926758,800.2197876,803.8461304,812.7106323,F,HK
822.7838745,793.7728882,814.3223267,824.7985229,F,HK
810.2930298,798.2051392,817.1428833,825.6043701,F,HK
810.6959839,794.9816895,821.5750732,831.6483765,F,HK
815.1282349,794.1758423,812.7106323,812.3076782,F,HK
792.5640869,796.9963379,816.7399292,792.1611938,F,HK
829.633728,794.5787354,813.1135254,834.4688721,F,HK
828.0219727,796.5933838,813.1135254,825.6043701,F,HK
793.3699341,803.4432373,806.2637329,788.9377441,F,HK
815.934082,790.1465454,804.6520386,812.7106323,F,HK
813.1135254,799.4139404,819.5604248,824.7985229,F,HK
800.2197876,786.1171875,817.9487305,815.934082,F,HK
811.098877,789.3406372,810.6959839,817.9487305,F,HK
814.7252808,794.5787354,817.5457764,834.8717651,F,HK
821.1721802,792.967041,811.098877,814.7252808,F,HK
817.5457764,790.5494385,811.098877,805.8607788,F,HK
801.0256348,796.1904907,812.3076782,803.4432373,F,HK
816.7399292,787.3259888,829.2307739,849.7802124,F,HK
814.7252808,791.3552856,817.9487305,821.5750732,F,HK
799.8168335,790.9523926,809.4871826,804.2490845,F,HK
816.3369751,797.8021851,816.7399292,819.9633789,F,HK
820.366272,795.7875366,820.7692261,832.4542236,F,HK
809.8901367,800.2197876,813.5164795,817.9487305,F,HK
816.3369751,796.1904907,811.9047852,811.9047852,F,HK
813.5164795,795.3846436,814.3223267,818.3516235,F,HK
815.5311279,785.3113403,813.1135254,831.2454224,F,HK
819.5604248,791.7582397,809.4871826,833.2600708,F,HK
843.333313,795.3846436,813.5164795,819.9633789,F,HK
822.3809814,802.234436,821.5750732,817.9487305,F,HK
807.0695801,803.0402832,813.9194336,828.8278198,F,HK
815.5311279,796.1904907,818.7545776,834.8717651,F,HK
813.5164795,790.5494385,809.0842285,812.3076782,F,HK
809.0842285,793.7728882,815.934082,811.9047852,F,HK
825.6043701,796.5933838,810.6959839,840.9157715,F,HK
814.3223267,801.0256348,816.7399292,826.8131714,F,HK
830.0366211,787.7289429,813.9194336,821.9780273,F,HK
804.6520386,799.4139404,822.3809814,808.2783813,F,HK
809.8901367,791.7582397,808.6813354,822.3809814,F,HK
805.0549316,801.4285889,797.399292,811.9047852,F,HK
802.234436,784.1025391,799.0109863,802.6373901,F,HK
826.0073242,791.7582397,812.7106323,808.6813354,F,HK
783.699646,788.131897,818.7545776,792.967041,F,HK
802.234436,799.4139404,804.6520386,808.6813354,F,HK
815.934082,803.0402832,822.3809814,804.2490845,F,HK
819.9633789,801.4285889,820.366272,810.2930298,F,HK
819.1575317,793.3699341,817.9487305,829.633728,F,HK
815.934082,790.9523926,814.3223267,834.8717651,F,HK
801.4285889,796.9963379,811.5018311,812.7106323,F,HK
830.8424683,805.0549316,811.098877,817.5457764,F,HK
820.7692261,793.7728882,805.4578857,803.4432373,F,HK
809.0842285,798.2051392,814.3223267,807.4725342,F,HK
801.8314819,792.1611938,806.666687,809.8901367,F,HK
820.366272,800.6226807,816.7399292,821.9780273,F,HK
819.5604248,793.3699341,814.7252808,806.666687,F,HK
822.3809814,800.6226807,814.3223267,826.8131714,F,HK
807.4725342,797.8021851,812.7106323,826.4102783,F,HK
820.7692261,790.9523926,817.9487305,816.7399292,F,HK
822.7838745,794.9816895,809.0842285,809.4871826,F,HK
823.1868286,794.9816895,807.4725342,828.0219727,F,HK
813.5164795,799.0109863,801.4285889,812.3076782,F,HK
819.5604248,790.5494385,811.9047852,825.2014771,F,HK
820.366272,793.3699341,810.6959839,799.4139404,F,HK
820.7692261,793.7728882,809.8901367,811.9047852,F,HK
801.8314819,794.1758423,805.0549316,807.4725342,F,HK
822.3809814,785.3113403,815.1282349,831.2454224,F,HK
809.4871826,788.53479,809.8901367,803.8461304,F,HK
805.4578857,794.5787354,809.0842285,807.0695801,F,HK
817.9487305,791.7582397,806.2637329,816.3369751,F,HK
810.2930298,791.7582397,808.6813354,827.2161255,F,HK
815.934082,794.5787354,815.934082,813.5164795,F,HK
798.2051392,789.3406372,811.9047852,805.0549316,F,HK
807.4725342,791.7582397,811.098877,815.934082,F,HK
817.5457764,794.1758423,818.3516235,836.0805664,F,HK
809.4871826,804.6520386,787.7289429,794.1758423,F,HK
805.4578857,792.967041,809.0842285,800.2197876,F,HK
805.4578857,792.967041,818.3516235,816.7399292,F,HK
817.9487305,794.5787354,813.9194336,827.6190186,F,HK
812.3076782,790.5494385,811.098877,819.1575317,F,HK
816.3369751,790.5494385,821.1721802,807.8754883,F,HK
819.5604248,791.7582397,811.9047852,815.5311279,F,HK
805.0549316,789.3406372,812.3076782,827.2161255,F,HK
