ch1,ch2,ch3,ch4
821.5750732421875,834.4688720703125,771.6116943359375,810.2930297851562
828.8278198242188,816.7399291992188,777.6557006835938,819.5604248046875
813.113525390625,801.025634765625,787.7289428710938,823.1868286132812
795.3846435546875,806.2637329101562,798.6080322265625,785.7142944335938
790.5494384765625,799.8168334960938,809.89013671875,774.029296875
826.4102783203125,804.2490844726562,804.6520385742188,832.05126953125
799.010986328125,795.3846435546875,817.1428833007812,778.8644409179688
786.1171875,788.1318969726562,812.7106323242188,780.879150390625
800.6226806640625,794.1758422851562,819.5604248046875,796.1904907226562
794.981689453125,783.6996459960938,828.4249267578125,818.7545776367188
800.2197875976562,792.5640869140625,812.7106323242188,824.7985229492188
802.6373901367188,799.4139404296875,818.7545776367188,818.3516235351562
806.2637329101562,802.6373901367188,819.5604248046875,805.4578857421875
794.1758422851562,799.010986328125,809.084228515625,799.8168334960938
792.1611938476562,795.3846435546875,810.2930297851562,797.8021850585938
801.4285888671875,797.3992919921875,797.8021850585938,815.93408203125
813.113525390625,800.2197875976562,806.6666870117188,816.3369750976562
817.1428833007812,801.025634765625,805.4578857421875,823.1868286132812
805.4578857421875,801.025634765625,805.4578857421875,815.5311279296875
815.93408203125,800.6226806640625,801.8314819335938,830.8424682617188
798.6080322265625,796.996337890625,807.069580078125,799.8168334960938
791.7582397460938,798.2051391601562,818.7545776367188,811.098876953125
784.1025390625,803.4432373046875,805.8607788085938,755.091552734375
804.6520385742188,796.5933837890625,809.084228515625,816.3369750976562
813.91943359375,784.5054931640625,799.010986328125,811.098876953125
800.6226806640625,794.5787353515625,805.054931640625,800.2197875976562
804.2490844726562,805.4578857421875,789.3406372070312,798.6080322265625
827.2161254882812,820.7692260742188,811.5018310546875,834.06591796875
812.7106323242188,801.8314819335938,810.6959838867188,828.02197265625
807.4725341796875,802.6373901367188,806.6666870117188,808.6813354492188
810.6959838867188,799.010986328125,808.6813354492188,806.2637329101562
772.4176025390625,788.5347900390625,807.069580078125,788.937744140625
784.908447265625,801.8314819335938,821.5750732421875,797.8021850585938
804.6520385742188,795.3846435546875,802.6373901367188,808.6813354492188
776.8497924804688,789.3406372070312,824.7985229492188,783.2966918945312
805.4578857421875,796.1904907226562,806.6666870117188,803.8461303710938
807.4725341796875,804.2490844726562,809.084228515625,815.5311279296875
803.4432373046875,794.1758422851562,801.025634765625,815.5311279296875
791.3552856445312,783.6996459960938,816.7399291992188,797.8021850585938
781.6849975585938,781.6849975585938,823.5897216796875,797.3992919921875
799.8168334960938,805.8607788085938,802.2344360351562,817.94873046875
806.6666870117188,803.040283203125,808.2783813476562,810.2930297851562
826.8131713867188,801.025634765625,806.2637329101562,815.5311279296875
813.113525390625,797.8021850585938,809.89013671875,799.010986328125
801.4285888671875,804.6520385742188,807.87548828125,804.2490844726562
810.2930297851562,792.1611938476562,806.6666870117188,818.3516235351562
803.8461303710938,801.8314819335938,812.7106323242188,814.7252807617188
784.908447265625,786.5201416015625,818.7545776367188,788.937744140625
792.967041015625,808.2783813476562,803.8461303710938,788.5347900390625
826.8131713867188,799.8168334960938,806.2637329101562,819.96337890625
812.3076782226562,799.8168334960938,811.90478515625,819.5604248046875
805.4578857421875,801.4285888671875,805.4578857421875,806.6666870117188
803.040283203125,798.6080322265625,810.2930297851562,803.4432373046875
797.3992919921875,796.1904907226562,803.4432373046875,805.054931640625
808.2783813476562,789.7435913085938,801.4285888671875,816.7399291992188
805.8607788085938,794.981689453125,803.040283203125,818.3516235351562
804.6520385742188,799.8168334960938,809.4871826171875,806.6666870117188
813.91943359375,800.2197875976562,802.6373901367188,809.89013671875
812.7106323242188,798.6080322265625,814.3223266601562,812.7106323242188
809.4871826171875,799.010986328125,815.1282348632812,807.069580078125
780.4761962890625,790.952392578125,809.4871826171875,773.6264038085938
802.2344360351562,797.8021850585938,806.2637329101562,806.6666870117188
804.6520385742188,794.5787353515625,801.8314819335938,810.6959838867188
804.2490844726562,794.1758422851562,811.90478515625,803.8461303710938
805.4578857421875,795.7875366210938,817.1428833007812,809.084228515625
