ch1,ch2,ch3,ch4,Value,Tag
791.758239746094,801.831481933594,801.025634765625,792.967041015625,R,HK
814.322326660156,801.025634765625,798.608032226563,807.069580078125,R,HK
792.564086914063,799.816833496094,801.831481933594,805.054931640625,R,HK
797.802185058594,801.428588867188,802.637390136719,797.399291992187,R,HK
791.758239746094,809.084228515625,804.652038574219,784.1025390625,R,HK
813.113525390625,787.728942871094,804.652038574219,814.725280761719,R,HK
816.336975097656,800.219787597656,803.443237304688,822.783874511719,R,HK
789.340637207031,797.802185058594,803.443237304688,792.564086914063,R,HK
810.695983886719,799.010986328125,802.234436035156,801.831481933594,R,HK
794.175842285156,804.249084472656,797.399291992187,794.981689453125,R,HK
812.307678222656,794.578735351563,801.025634765625,803.443237304688,R,HK
803.040283203125,793.772888183594,801.831481933594,795.787536621094,R,HK
801.831481933594,786.923095703125,805.054931640625,801.025634765625,R,HK
805.054931640625,801.025634765625,801.831481933594,810.293029785156,R,HK
809.084228515625,794.578735351563,808.278381347656,808.681335449219,R,HK
793.369934082031,802.637390136719,802.637390136719,794.981689453125,R,HK
802.637390136719,799.816833496094,802.637390136719,794.578735351563,R,HK
807.87548828125,799.413940429688,796.593383789063,808.278381347656,R,HK
809.084228515625,801.428588867188,805.457885742188,821.97802734375,R,HK
810.695983886719,797.802185058594,806.666687011719,810.695983886719,R,HK
779.670349121094,794.981689453125,803.443237304688,789.340637207031,R,HK
800.219787597656,788.937744140625,803.040283203125,802.234436035156,R,HK
811.098876953125,796.190490722656,794.578735351563,806.263732910156,R,HK
805.054931640625,797.399291992187,807.87548828125,793.772888183594,R,HK
812.307678222656,796.996337890625,807.472534179687,801.025634765625,R,HK
803.846130371094,800.622680664062,807.87548828125,799.010986328125,R,HK
813.516479492188,798.205139160156,805.457885742188,820.769226074219,R,HK
794.175842285156,794.578735351563,811.501831054687,799.010986328125,R,HK
810.695983886719,795.384643554688,799.413940429688,809.89013671875,R,HK
799.413940429688,787.728942871094,801.428588867188,792.161193847656,R,HK
797.399291992187,799.413940429688,812.307678222656,807.87548828125,R,HK
798.205139160156,790.952392578125,804.652038574219,800.622680664062,R,HK
788.534790039062,790.549438476563,803.040283203125,783.699645996094,R,HK
817.545776367188,779.267395019531,825.201477050781,836.08056640625,R,HK
799.413940429688,799.413940429688,797.802185058594,802.234436035156,R,HK
797.802185058594,792.967041015625,807.069580078125,803.846130371094,R,HK
798.205139160156,807.069580078125,797.802185058594,801.428588867188,R,HK
814.322326660156,806.666687011719,803.846130371094,810.695983886719,R,HK
800.219787597656,791.355285644531,814.322326660156,801.025634765625,R,HK
803.040283203125,800.219787597656,797.802185058594,799.816833496094,R,HK
792.967041015625,795.384643554688,800.622680664062,786.520141601563,R,HK
801.025634765625,800.219787597656,806.666687011719,796.593383789063,R,HK
797.399291992187,797.399291992187,810.293029785156,796.190490722656,R,HK
799.816833496094,795.787536621094,799.010986328125,800.219787597656,R,HK
793.772888183594,799.010986328125,803.443237304688,808.278381347656,R,HK
792.967041015625,803.443237304688,805.457885742188,789.340637207031,R,HK
815.93408203125,798.608032226563,805.054931640625,810.293029785156,R,HK
808.681335449219,803.040283203125,805.054931640625,804.249084472656,R,HK
820.769226074219,803.040283203125,802.637390136719,821.97802734375,R,HK
805.054931640625,799.010986328125,801.428588867188,800.219787597656,R,HK
813.113525390625,812.307678222656,806.263732910156,813.91943359375,R,HK
811.501831054687,807.069580078125,792.161193847656,799.413940429688,R,HK
813.91943359375,810.293029785156,796.996337890625,818.754577636719,R,HK
807.069580078125,805.860778808594,801.025634765625,803.846130371094,R,HK
801.025634765625,810.293029785156,801.025634765625,783.699645996094,R,HK
800.219787597656,800.219787597656,803.040283203125,805.457885742188,R,HK
803.443237304688,790.146545410156,806.666687011719,810.293029785156,R,HK
800.219787597656,791.355285644531,807.472534179687,799.816833496094,R,HK
792.161193847656,794.981689453125,805.054931640625,788.937744140625,R,HK
802.234436035156,800.219787597656,803.846130371094,804.652038574219,R,HK
806.263732910156,803.040283203125,816.336975097656,809.487182617188,R,HK
790.952392578125,791.355285644531,796.996337890625,802.234436035156,R,HK
809.487182617188,792.967041015625,807.472534179687,807.472534179687,R,HK
788.131896972656,798.205139160156,807.069580078125,792.161193847656,R,HK
799.816833496094,791.355285644531,805.860778808594,803.040283203125,R,HK
801.831481933594,796.593383789063,801.025634765625,807.472534179687,R,HK
804.652038574219,794.175842285156,803.040283203125,798.608032226563,R,HK
801.831481933594,797.802185058594,805.054931640625,798.608032226563,R,HK
805.457885742188,797.399291992187,809.487182617188,811.501831054687,R,HK
805.054931640625,797.399291992187,802.234436035156,806.263732910156,R,HK
805.457885742188,796.593383789063,800.622680664062,796.190490722656,R,HK
807.87548828125,794.175842285156,809.487182617188,802.637390136719,R,HK
806.263732910156,787.325988769531,812.307678222656,823.589721679688,R,HK
810.293029785156,791.758239746094,813.516479492188,820.366271972656,R,HK
809.084228515625,797.802185058594,802.637390136719,813.113525390625,R,HK
812.307678222656,794.578735351563,802.637390136719,796.996337890625,R,HK
794.578735351563,799.413940429688,803.846130371094,797.399291992187,R,HK
812.710632324219,799.010986328125,803.443237304688,813.113525390625,R,HK
800.622680664062,787.325988769531,805.054931640625,810.293029785156,R,HK
813.113525390625,799.816833496094,808.681335449219,807.472534179687,R,HK
797.399291992187,794.981689453125,804.652038574219,795.384643554688,R,HK
796.593383789063,798.205139160156,806.666687011719,801.025634765625,R,HK
810.293029785156,801.428588867188,809.487182617188,812.307678222656,R,HK
807.069580078125,796.190490722656,791.758239746094,794.981689453125,R,HK
799.413940429688,794.175842285156,804.652038574219,789.340637207031,R,HK
804.652038574219,801.025634765625,801.831481933594,801.025634765625,R,HK
808.681335449219,795.787536621094,801.831481933594,802.234436035156,R,HK
792.161193847656,790.952392578125,807.069580078125,808.278381347656,R,HK
812.307678222656,799.010986328125,803.443237304688,799.816833496094,R,HK
799.010986328125,794.578735351563,794.981689453125,791.758239746094,R,HK
799.816833496094,798.608032226563,804.652038574219,805.054931640625,R,HK
799.816833496094,795.787536621094,798.608032226563,794.981689453125,R,HK
798.205139160156,800.622680664062,803.040283203125,790.549438476563,R,HK
796.996337890625,799.413940429688,807.069580078125,806.666687011719,R,HK
792.564086914063,792.564086914063,797.399291992187,796.593383789063,R,HK
790.549438476563,801.025634765625,802.234436035156,787.728942871094,R,HK
810.293029785156,807.069580078125,810.695983886719,800.622680664062,R,HK
813.113525390625,805.860778808594,802.234436035156,812.307678222656,R,HK
799.413940429688,801.025634765625,803.443237304688,806.666687011719,R,HK
802.234436035156,796.593383789063,800.219787597656,796.593383789063,R,HK
822.783874511719,794.578735351563,809.487182617188,813.516479492188,R,HK
829.633728027344,801.025634765625,797.399291992187,805.054931640625,R,HK
807.069580078125,799.413940429688,801.831481933594,802.637390136719,R,HK
804.249084472656,796.593383789063,801.428588867188,790.146545410156,R,HK
807.472534179687,778.461547851563,809.084228515625,812.307678222656,R,HK
809.89013671875,797.399291992187,798.205139160156,814.322326660156,R,HK
807.87548828125,790.146545410156,799.816833496094,803.443237304688,R,HK
800.622680664062,799.413940429688,802.637390136719,796.190490722656,R,HK
816.739929199219,802.637390136719,802.637390136719,813.516479492188,R,HK
805.860778808594,795.787536621094,800.622680664062,805.457885742188,R,HK
796.996337890625,800.219787597656,810.293029785156,809.487182617188,R,HK
