ch1,ch2,ch3,ch4
795.7875366210938,796.1904907226562,797.8021850585938,772.4176025390625
800.6226806640625,794.5787353515625,803.4432373046875,749.8534545898438
807.4725341796875,791.3552856445312,805.4578857421875,757.106201171875
804.6520385742188,791.7582397460938,798.6080322265625,769.5970458984375
809.4871826171875,795.3846435546875,794.5787353515625,780.4761962890625
811.90478515625,799.8168334960938,792.1611938476562,789.7435913085938
814.3223266601562,801.4285888671875,792.967041015625,799.010986328125
810.6959838867188,798.6080322265625,791.3552856445312,799.8168334960938
802.2344360351562,795.3846435546875,791.3552856445312,799.8168334960938
799.010986328125,798.2051391601562,795.3846435546875,806.6666870117188
795.7875366210938,799.4139404296875,795.7875366210938,811.90478515625
796.1904907226562,799.8168334960938,793.7728881835938,821.5750732421875
801.4285888671875,800.6226806640625,794.981689453125,824.7985229492188
803.8461303710938,799.4139404296875,795.3846435546875,814.3223266601562
804.2490844726562,799.010986328125,791.3552856445312,814.3223266601562
807.87548828125,798.2051391601562,788.937744140625,815.93408203125
811.5018310546875,799.010986328125,792.1611938476562,812.7106323242188
807.87548828125,797.3992919921875,795.7875366210938,809.4871826171875
802.2344360351562,795.7875366210938,798.6080322265625,809.89013671875
809.4871826171875,799.8168334960938,802.2344360351562,812.3076782226562
814.3223266601562,799.8168334960938,798.6080322265625,807.87548828125
811.098876953125,797.8021850585938,796.5933837890625,812.7106323242188
810.2930297851562,796.996337890625,797.8021850585938,814.7252807617188
813.113525390625,799.8168334960938,793.7728881835938,804.6520385742188
813.113525390625,804.6520385742188,789.7435913085938,806.2637329101562
811.5018310546875,803.040283203125,789.7435913085938,810.6959838867188
810.2930297851562,800.6226806640625,795.3846435546875,812.3076782226562
805.8607788085938,804.2490844726562,799.4139404296875,813.113525390625
806.6666870117188,805.8607788085938,800.6226806640625,814.7252807617188
807.069580078125,801.025634765625,801.8314819335938,814.7252807617188
807.069580078125,801.025634765625,800.6226806640625,805.054931640625
809.4871826171875,799.4139404296875,797.3992919921875,803.040283203125
806.6666870117188,797.8021850585938,799.010986328125,805.8607788085938
800.6226806640625,797.8021850585938,805.054931640625,807.4725341796875
803.8461303710938,799.8168334960938,804.6520385742188,810.2930297851562
806.2637329101562,803.4432373046875,802.6373901367188,810.2930297851562
805.4578857421875,799.010986328125,801.4285888671875,806.6666870117188
807.4725341796875,799.010986328125,797.8021850585938,805.8607788085938
802.2344360351562,797.3992919921875,796.5933837890625,813.113525390625
799.010986328125,794.981689453125,796.996337890625,815.5311279296875
797.8021850585938,798.2051391601562,792.5640869140625,810.2930297851562
796.996337890625,799.8168334960938,790.5494384765625,806.2637329101562
797.8021850585938,799.8168334960938,792.5640869140625,807.069580078125
806.2637329101562,802.6373901367188,796.996337890625,808.6813354492188
809.89013671875,805.4578857421875,803.040283203125,810.6959838867188
803.8461303710938,804.2490844726562,799.4139404296875,806.6666870117188
800.6226806640625,801.4285888671875,797.3992919921875,801.025634765625
804.2490844726562,797.3992919921875,796.996337890625,803.8461303710938
801.4285888671875,802.6373901367188,792.5640869140625,804.6520385742188
795.7875366210938,806.6666870117188,791.3552856445312,806.2637329101562
796.5933837890625,805.8607788085938,791.3552856445312,809.084228515625
801.025634765625,803.8461303710938,795.7875366210938,810.6959838867188
805.4578857421875,797.3992919921875,797.8021850585938,810.2930297851562
804.2490844726562,798.2051391601562,793.3699340820312,805.054931640625
799.8168334960938,795.7875366210938,792.1611938476562,799.8168334960938
792.967041015625,795.7875366210938,792.967041015625,805.8607788085938
788.1318969726562,803.040283203125,792.1611938476562,809.4871826171875
792.1611938476562,804.6520385742188,795.3846435546875,802.6373901367188
805.4578857421875,804.6520385742188,798.2051391601562,804.2490844726562
807.069580078125,801.8314819335938,797.8021850585938,806.6666870117188
807.4725341796875,798.2051391601562,799.4139404296875,805.4578857421875
810.2930297851562,798.2051391601562,798.6080322265625,807.87548828125
807.4725341796875,803.040283203125,798.6080322265625,813.5164794921875
809.4871826171875,798.2051391601562,798.6080322265625,819.5604248046875
811.5018310546875,799.010986328125,793.7728881835938,817.5457763671875
807.069580078125,808.2783813476562,790.1465454101562,813.113525390625
805.054931640625,805.8607788085938,792.967041015625,811.098876953125
801.025634765625,799.4139404296875,799.4139404296875,808.2783813476562
803.8461303710938,796.996337890625,798.6080322265625,800.6226806640625
