ch1,ch2,ch3,ch4
811.5018310546875,801.4285888671875,802.2344360351562,1091.94140625
812.7106323242188,814.3223266601562,799.4139404296875,821.97802734375
814.3223266601562,803.8461303710938,800.2197875976562,804.6520385742188
809.084228515625,803.040283203125,796.5933837890625,804.6520385742188
826.4102783203125,811.90478515625,797.8021850585938,807.87548828125
792.967041015625,805.054931640625,796.1904907226562,796.996337890625
789.7435913085938,804.6520385742188,800.6226806640625,641.062255859375
821.97802734375,805.8607788085938,799.8168334960938,817.94873046875
801.025634765625,800.6226806640625,799.4139404296875,845.7509155273438
808.6813354492188,805.4578857421875,799.010986328125,810.6959838867188
803.4432373046875,799.4139404296875,798.6080322265625,811.5018310546875
810.6959838867188,806.6666870117188,802.6373901367188,806.6666870117188
784.1025390625,806.6666870117188,795.7875366210938,781.2820434570312
826.8131713867188,807.4725341796875,799.4139404296875,832.4542236328125
805.4578857421875,805.054931640625,801.025634765625,803.4432373046875
811.90478515625,805.4578857421875,798.6080322265625,812.7106323242188
810.6959838867188,807.87548828125,803.8461303710938,802.2344360351562
823.1868286132812,806.2637329101562,799.8168334960938,808.2783813476562
792.967041015625,801.025634765625,801.8314819335938,804.2490844726562
818.3516235351562,810.2930297851562,800.2197875976562,815.93408203125
808.2783813476562,806.6666870117188,801.4285888671875,810.2930297851562
792.5640869140625,811.098876953125,805.054931640625,795.7875366210938
804.6520385742188,803.8461303710938,799.010986328125,799.010986328125
814.3223266601562,809.89013671875,804.2490844726562,823.99267578125
824.3956298828125,810.2930297851562,797.3992919921875,812.7106323242188
810.6959838867188,796.5933837890625,800.6226806640625,819.96337890625
809.89013671875,810.2930297851562,798.2051391601562,804.6520385742188
807.87548828125,803.040283203125,798.6080322265625,814.3223266601562
812.7106323242188,804.2490844726562,799.010986328125,785.7142944335938
812.7106323242188,810.2930297851562,800.2197875976562,806.2637329101562
801.025634765625,803.040283203125,795.7875366210938,801.4285888671875
802.2344360351562,805.4578857421875,798.6080322265625,811.5018310546875
803.4432373046875,803.040283203125,799.8168334960938,814.7252807617188
819.5604248046875,806.6666870117188,795.7875366210938,807.4725341796875
809.89013671875,807.4725341796875,800.6226806640625,808.2783813476562
